epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-06-03T06:23:02,1.4538750274900043,0.1895056082917157,1,0.7560102301790281,0.4710997442455243,0.5278772378516624,0.2705921204854757,0.28762541806020064,0.7889908256880734,0.2641509433962264,0.34146341463414637,0.26,0.3058823529411765,0.8341411060657412,0.5122035133704973,0.7809472076739405,0.48566900106593214,0.7912636184450549,0.49965474721656183,0.49917575388433044,0.28437065083337876,63.150883436203,7.467760324478149,261.79201193587
2,2026-06-03T06:24:05,1.3840952461416072,0.17284111322094034,0,0.7913043478260869,0.5554987212276215,0.5938618925831202,0.2575043224964351,0.32409381663113007,0.6972477064220184,0.23703703703703705,0.1951219512195122,0.21138211382113822,0.15294117647058825,0.84431129075152,0.5251249442180888,0.805648568062761,0.5071033540556283,0.8135942306460552,0.5143098749503076,0.5155127244080083,0.29094264267917797,62.831398487091064,7.43195915222168,263.05311425394206
3,2026-06-03T06:25:08,1.2866795096528587,0.16600963650571723,0,0.871611253196931,0.7150895140664961,0.69769820971867,0.10052910052910054,0.2777777777777778,0.1834862385321101,0.023809523809523808,0.012195121951219513,0.0,0.0,0.8709316064782481,0.5558031181490221,0.8279046399906943,0.5283410667832265,0.8317731904606426,0.5380299014421753,0.5407246954581413,0.29854570307653516,63.04464626312256,7.442510604858398,262.68017659575725
4,2026-06-03T06:26:10,1.2399559897954384,0.15997762793815262,0,0.871611253196931,0.69923273657289,0.6797953964194373,0.20819232938522278,0.41624365482233505,0.3761467889908257,0.10416666666666667,0.06097560975609756,0.10416666666666667,0.058823529411764705,0.8695711345739355,0.5651289431043154,0.8253713224013041,0.5330119871416713,0.8269877367806044,0.5327054177858978,0.5436154493439616,0.31358605393592515,62.000699043273926,7.371780157089233,265.20052936195225
5,2026-06-03T06:27:13,1.1991857193659938,0.16014535412673028,0,0.8624040920716113,0.6644501278772379,0.6762148337595908,0.22372701372701373,0.43555555555555553,0.44954128440366975,0.1346153846153846,0.08536585365853659,0.10101010101010101,0.058823529411764705,0.8664905600344429,0.5558217534702027,0.8201813125158215,0.5169885139380028,0.82341942904617,0.5288586996753931,0.5338896556945328,0.29295073117461307,62.67333745956421,7.39301061630249,264.4389547729022
6,2026-06-03T06:28:15,1.1632787898254167,0.16375513272660394,1,0.8419437340153453,0.6378516624040921,0.6404092071611254,0.2765350149352805,0.4122137404580153,0.4954128440366973,0.21739130434782608,0.18292682926829268,0.2,0.15294117647058825,0.8641708109191536,0.5518289228153698,0.8194787509275967,0.5160112852190532,0.8230662947188806,0.5283954930354813,0.5320785670233014,0.3033527966938595,62.10234355926514,7.450955152511597,262.38246774858135
7,2026-06-03T06:29:18,1.1112930437808402,0.16040713732601494,0,0.8721227621483376,0.6547314578005116,0.6664961636828645,0.20028517498845835,0.39572192513368987,0.3394495412844037,0.10204081632653061,0.06097560975609756,0.10309278350515463,0.058823529411764705,0.8682100754388012,0.5618181449047653,0.8245391025515506,0.5275786776810636,0.826659741956398,0.531926565720818,0.540441129435549,0.3116036150228778,62.800822019577026,7.455851793289185,262.2101477070191
8,2026-06-03T06:30:20,1.0630676511086916,0.16526354671085394,0,0.8547314578005115,0.5682864450127877,0.5728900255754475,0.2168253644215673,0.42857142857142855,0.4954128440366973,0.1188118811881188,0.07317073170731707,0.10309278350515463,0.058823529411764705,0.8705869898451432,0.5638937958527088,0.8192767467927483,0.5204909206092285,0.8233632841539594,0.5297241342956198,0.5380362835858524,0.3147475156946462,62.69864225387573,7.404868125915527,264.0155053076366
9,2026-06-03T06:31:23,1.0442742919950394,0.15910776863775908,0,0.8751918158567775,0.7033248081841432,0.6874680306905371,0.16183259297970562,0.4157303370786517,0.3394495412844037,0.06976744186046512,0.036585365853658534,0.0,0.0,0.878376490045151,0.5699936529429721,0.8290592467785637,0.5217303071010423,0.8312068203128432,0.5327497799227747,0.5414912466555964,0.3003777075605802,62.21546792984009,7.363054990768433,265.5147900499341
10,2026-06-03T06:32:25,1.0379966023649896,0.16561693055254798,0,0.8122762148337596,0.591304347826087,0.5928388746803069,0.19051890409551456,0.3868312757201646,0.43119266055045874,0.08163265306122448,0.04878048780487805,0.10309278350515463,0.058823529411764705,0.8675331352189698,0.5563113174256938,0.8220204339207976,0.5208889796838648,0.8232078871090588,0.5284284038687731,0.5352095669927772,0.3061710446638721,62.59534525871277,7.38184118270874,264.83907626994215
11,2026-06-03T06:33:29,1.001768224333462,0.15756164439102655,0,0.8690537084398977,0.6593350383631713,0.648081841432225,0.23747477485617904,0.4423963133640553,0.44036697247706424,0.1523809523809524,0.0975609756097561,0.11764705882352941,0.07058823529411765,0.8728374889743589,0.5706655205052,0.8260907614994947,0.5275651265335561,0.8276416740628959,0.5343978892543798,0.5442095120977121,0.31686150705547506,63.3053183555603,7.428867340087891,263.1625940404625
12,2026-06-03T06:34:31,0.9613865598608432,0.15975623492712296,0,0.870076726342711,0.6782608695652174,0.6624040920716112,0.16545908717677774,0.34394904458598724,0.24770642201834864,0.08791208791208792,0.04878048780487805,0.06451612903225806,0.03529411764705882,0.8738965753841345,0.5657596787965297,0.83018515824813,0.5305923832003628,0.8287740521566986,0.5353389478651749,0.5438970032873558,0.3087338616392388,62.56571674346924,7.428891897201538,263.1617241242194
