epoch,timestamp,train_loss,val_loss,is_best,acc_spinal_canal,acc_left_foraminal,acc_right_foraminal,avg_severe_f1,severe_f1_spinal_canal,severe_recall_spinal_canal,severe_f1_left_foraminal,severe_recall_left_foraminal,severe_f1_right_foraminal,severe_recall_right_foraminal,macro_auc_spinal_canal,macro_auprc_spinal_canal,macro_auc_left_foraminal,macro_auprc_left_foraminal,macro_auc_right_foraminal,macro_auprc_right_foraminal,overall_macro_auprc,overall_severe_auprc,extra_epoch_seconds,extra_eval_seconds,extra_eval_throughput_samples_per_sec
1,2026-08-23T13:43:24,1.3903774085498992,0.15422698767865942,1,0.858908341915551,0.5699535363964894,0.5859576664945793,0.24118307255562157,0.5037037037037037,0.8395061728395061,0.0784313725490196,0.05,0.1414141414141414,0.08433734939759036,0.925942715972516,0.6380915460761462,0.7950151678499919,0.4747595037443218,0.8009787843599021,0.4913636020620138,0.5347382172941606,0.3550509066082545,178.09088373184204,18.74839448928833,103.58220279125972
2,2026-08-23T13:46:21,1.2983114566121783,0.1482409802596263,0,0.8496395468589083,0.6226122870418173,0.6308724832214765,0.3298531266226541,0.45901639344262296,0.8641975308641975,0.28054298642533937,0.3875,0.25,0.30120481927710846,0.9166040401811818,0.6378072088288477,0.7936005982425455,0.4729480442096281,0.7949713013399138,0.4792586715453793,0.5300046415279517,0.3489313976371804,177.33103942871094,18.806543111801147,103.26193327796594
3,2026-08-23T13:49:19,1.2215087269388494,0.14253822168528707,1,0.8733264675592173,0.6556530717604543,0.697986577181208,0.3437971987233784,0.5111111111111111,0.8518518518518519,0.2713178294573643,0.4375,0.24896265560165975,0.3614457831325301,0.921223766047541,0.6410544865198929,0.7869748959691979,0.4688227670253231,0.7894122696087446,0.4871002129381216,0.5323258221611126,0.3675557999724433,177.13564586639404,18.750242233276367,103.57199527553304
4,2026-08-23T13:52:17,1.1370196727237531,0.1437061314211517,0,0.8995880535530381,0.6504904491481672,0.6339700567888488,0.35402812488463214,0.6344086021505376,0.7283950617283951,0.22077922077922077,0.2125,0.20689655172413793,0.18072289156626506,0.9339387010612067,0.6563949641369473,0.8012328411025477,0.4787849726672169,0.8031314652929752,0.49117453479535184,0.5421181571998387,0.34438185944862054,177.30193209648132,18.7178475856781,103.751245495017
5,2026-08-23T13:55:14,1.1185188281216791,0.14327813451855234,0,0.8970133882595263,0.6670108415074858,0.6504904491481672,0.38040718593875383,0.63,0.7777777777777778,0.24539877300613497,0.25,0.26582278481012656,0.25301204819277107,0.9314800046434032,0.649461967380589,0.7899485678440779,0.4774328066571647,0.7899436495264017,0.48911333056052314,0.5386693681994256,0.3655627779237201,177.50534439086914,18.731566190719604,103.67526026532407
6,2026-08-23T13:58:12,1.026423499449378,0.14297407754579852,0,0.8856848609680742,0.6701084150748581,0.6685596282911719,0.3282821590793753,0.5579399141630901,0.8024691358024691,0.2328767123287671,0.2125,0.19402985074626866,0.1566265060240964,0.9249000985997001,0.6416692459337567,0.8030706204252774,0.4907940256785584,0.8046388730446022,0.4993628671709016,0.5439420462610722,0.3556582466127007,177.31688904762268,18.82970952987671,103.1348888796542
7,2026-08-23T14:01:09,0.9595748602634384,0.14732296739404646,0,0.8995880535530381,0.6319050077439339,0.6520392359318534,0.33319109899173527,0.6211180124223602,0.6172839506172839,0.18333333333333332,0.1375,0.1951219512195122,0.14457831325301204,0.9325506390263385,0.647095397667392,0.7994890360730987,0.4829055494843814,0.8050047063493148,0.49466368839348324,0.5415548785150855,0.3382223977663254,176.90429997444153,18.756858825683594,103.53545964427889
8,2026-08-23T14:04:07,0.9243258539055075,0.14839811488741736,0,0.8867147270854789,0.6499741868869385,0.664945792462571,0.3465049556598852,0.5915492957746479,0.7777777777777778,0.19444444444444445,0.175,0.2535211267605634,0.21686746987951808,0.9181982456234641,0.622937389024849,0.7842846568543683,0.46874348548459005,0.7936491243797031,0.4940526724384687,0.5285778489826359,0.33098511740233,177.50215816497803,18.77381682395935,103.44193821693192
9,2026-08-23T14:07:04,0.8236253541140329,0.1454748964558045,0,0.8717816683831102,0.6592669075890553,0.6850800206504905,0.34564523767935523,0.5506072874493927,0.8395061728395061,0.2376237623762376,0.3,0.24870466321243523,0.2891566265060241,0.913085273524391,0.6190999507322096,0.7893202558317384,0.47307795174413453,0.7991387884903022,0.5011303215403458,0.5311027413388966,0.3360950568397068,177.34590864181519,18.772903203964233,103.44697242086201
10,2026-08-23T14:10:04,0.8306446596625305,0.14528947134751602,0,0.8975283213182287,0.656169334021683,0.6985028394424367,0.36275687490915276,0.6368715083798883,0.7037037037037037,0.21428571428571427,0.2625,0.23711340206185566,0.27710843373493976,0.9268782905483398,0.6313096582709399,0.7838518568906508,0.46924890873051656,0.7938393678150898,0.490952753754968,0.5305037735854748,0.3229669063796119,179.7471125125885,20.016496419906616,97.01997588692198
