epoch,train_loss,val_loss,val_mean_acc,val_mean_f1_macro,val_mean_auc,val_mean_auprc,epoch_time_sec,cumulative_train_time_sec,val_inference_time_ms_per_sample,val_acc_pfirrmann,val_f1_macro_pfirrmann,val_auc_pfirrmann,val_auprc_pfirrmann,f1_pfirrmann_class0,f1_pfirrmann_class1,f1_pfirrmann_class2,f1_pfirrmann_class3,f1_pfirrmann_class4,precision_pfirrmann_class0,precision_pfirrmann_class1,precision_pfirrmann_class2,precision_pfirrmann_class3,precision_pfirrmann_class4,recall_pfirrmann_class0,recall_pfirrmann_class1,recall_pfirrmann_class2,recall_pfirrmann_class3,recall_pfirrmann_class4,val_acc_modic,val_f1_macro_modic,val_auc_modic,val_auprc_modic,f1_modic_class0,f1_modic_class1,f1_modic_class2,f1_modic_class3,precision_modic_class0,precision_modic_class1,precision_modic_class2,precision_modic_class3,recall_modic_class0,recall_modic_class1,recall_modic_class2,recall_modic_class3,val_acc_disc_narrowing,val_f1_macro_disc_narrowing,val_auc_disc_narrowing,val_auprc_disc_narrowing,f1_disc_narrowing_class0,f1_disc_narrowing_class1,precision_disc_narrowing_class0,precision_disc_narrowing_class1,recall_disc_narrowing_class0,recall_disc_narrowing_class1,val_acc_spondylolisthesis,val_f1_macro_spondylolisthesis,val_auc_spondylolisthesis,val_auprc_spondylolisthesis,f1_spondylolisthesis_class0,f1_spondylolisthesis_class1,precision_spondylolisthesis_class0,precision_spondylolisthesis_class1,recall_spondylolisthesis_class0,recall_spondylolisthesis_class1,val_acc_up_endplate,val_f1_macro_up_endplate,val_auc_up_endplate,val_auprc_up_endplate,f1_up_endplate_class0,f1_up_endplate_class1,precision_up_endplate_class0,precision_up_endplate_class1,recall_up_endplate_class0,recall_up_endplate_class1,val_acc_low_endplate,val_f1_macro_low_endplate,val_auc_low_endplate,val_auprc_low_endplate,f1_low_endplate_class0,f1_low_endplate_class1,precision_low_endplate_class0,precision_low_endplate_class1,recall_low_endplate_class0,recall_low_endplate_class1,val_acc_disc_herniation,val_f1_macro_disc_herniation,val_auc_disc_herniation,val_auprc_disc_herniation,f1_disc_herniation_class0,f1_disc_herniation_class1,precision_disc_herniation_class0,precision_disc_herniation_class1,recall_disc_herniation_class0,recall_disc_herniation_class1,val_acc_disc_bulging,val_f1_macro_disc_bulging,val_auc_disc_bulging,val_auprc_disc_bulging,f1_disc_bulging_class0,f1_disc_bulging_class1,precision_disc_bulging_class0,precision_disc_bulging_class1,recall_disc_bulging_class0,recall_disc_bulging_class1
1,0.6708052259380535,0.6113801234712204,0.698936170212766,0.48390546914747107,0.7558968620468445,0.5248743015366131,74.52011299133301,74.52011299133301,64.54661247578073,0.37872340425531914,0.20170872505360382,0.7704782754926224,0.48984874518601706,0.0,0.524822695035461,0.48372093023255813,0.0,0.0,0.0,0.4157303370786517,0.3561643835616438,0.0,0.0,0.0,0.7115384615384616,0.7536231884057971,0.0,0.0,0.6212765957446809,0.20197044334975367,0.7116517905224855,0.5158107922772169,0.7639257294429708,0.0,0.04395604395604396,0.0,0.6206896551724138,0.0,0.6666666666666666,0.0,0.993103448275862,0.0,0.022727272727272728,0.0,0.676595744680851,0.6165407076605978,0.8303912915563401,0.7849557056718792,0.7682926829268293,0.4647887323943662,0.6428571428571429,0.8461538461538461,0.9545454545454546,0.32038834951456313,0.9744680851063829,0.49353448275862066,0.6266375545851528,0.05479772294390041,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.6553191489361702,0.5929300057740425,0.7586155674390969,0.6712247491582014,0.7522935779816514,0.43356643356643354,0.643979057591623,0.7045454545454546,0.9044117647058824,0.31313131313131315,0.6510638297872341,0.5895109066121336,0.7764102564102564,0.706834299612907,0.7484662576687117,0.4305555555555556,0.6224489795918368,0.7948717948717948,0.9384615384615385,0.29523809523809524,0.9446808510638298,0.48577680525164113,0.7633402633402634,0.16321817294799434,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.6893617021276596,0.6892716767193755,0.8096498970285378,0.8123042244947882,0.683982683982684,0.694560669456067,0.6171875,0.7757009345794392,0.7669902912621359,0.6287878787878788
2,0.5586435895855144,0.5675895394136509,0.7436170212765958,0.553735977304794,0.7673329707930935,0.5379571071271821,75.16385674476624,149.68396973609924,67.49768460050542,0.3829787234042553,0.24623980553851746,0.786988272294048,0.5009065572370319,0.0,0.5166666666666667,0.4840182648401826,0.11940298507462686,0.1111111111111111,0.0,0.45588235294117646,0.35333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.5961538461538461,0.7681159420289855,0.07547169811320754,0.06060606060606061,0.6893617021276596,0.30279250618593145,0.7232073563389236,0.5176185738691493,0.7884057971014493,0.0,0.42276422764227645,0.0,0.68,0.0,0.7428571428571429,0.0,0.9379310344827586,0.0,0.29545454545454547,0.0,0.7617021276595745,0.7456709956709957,0.8446601941747572,0.8056204136267999,0.8095238095238095,0.6818181818181818,0.7345679012345679,0.821917808219178,0.9015151515151515,0.5825242718446602,0.9744680851063829,0.49353448275862066,0.6499272197962154,0.07140997424242577,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.6936170212765957,0.6730055658627088,0.7646316102198455,0.6800182671119398,0.7551020408163265,0.5909090909090909,0.7025316455696202,0.6753246753246753,0.8161764705882353,0.5252525252525253,0.723404255319149,0.7091639534662326,0.7854945054945055,0.7267082872793735,0.7735191637630662,0.644808743169399,0.7070063694267515,0.7564102564102564,0.8538461538461538,0.5619047619047619,0.9446808510638298,0.48577680525164113,0.7713097713097713,0.18124426367039723,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7787234042553192,0.7737037037037038,0.8124448367166814,0.8201305199803397,0.74,0.8074074074074075,0.7628865979381443,0.7898550724637681,0.7184466019417476,0.8257575757575758
3,0.5284203134350858,0.5467538663186133,0.7558510638297873,0.5757416766918936,0.7747340262770477,0.5488395422365067,73.17952561378479,222.86349534988403,64.47084406588941,0.4553191489361702,0.37320068776470977,0.7937544187336265,0.5064892054403524,0.0,0.5230769230769231,0.5157894736842106,0.208955223880597,0.6181818181818182,0.0,0.4358974358974359,0.4049586776859504,0.5,0.7727272727272727,0.0,0.6538461538461539,0.7101449275362319,0.1320754716981132,0.5151515151515151,0.7148936170212766,0.33078263170661787,0.728608357986146,0.5217057473122612,0.797583081570997,0.0,0.5255474452554745,0.0,0.7096774193548387,0.0,0.7346938775510204,0.0,0.9103448275862069,0.0,0.4090909090909091,0.0,0.7702127659574468,0.7643716577540107,0.8509855839952927,0.8163841304573161,0.8014705882352942,0.7272727272727273,0.7785714285714286,0.7578947368421053,0.8257575757575758,0.6990291262135923,0.9744680851063829,0.49353448275862066,0.6695778748180495,0.07805090060891667,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.6893617021276596,0.6733687477389996,0.7713903743315508,0.6906536990242309,0.7456445993031359,0.6010928961748634,0.7086092715231788,0.6547619047619048,0.7867647058823529,0.5555555555555556,0.7191489361702128,0.7111946968568449,0.7883516483516483,0.7370651561402759,0.7591240875912408,0.6632653061224489,0.7222222222222222,0.7142857142857143,0.8,0.6190476190476191,0.9446808510638298,0.48577680525164113,0.7765072765072765,0.21424444921114372,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7787234042553192,0.7737037037037038,0.818696675492792,0.8261230496975565,0.74,0.8074074074074075,0.7628865979381443,0.7898550724637681,0.7184466019417476,0.8257575757575758
4,0.5098829542176199,0.5367295754762987,0.7664893617021276,0.5889851716940204,0.7789467525057285,0.5617386971496154,73.32679891586304,296.19029426574707,63.89960431038065,0.4851063829787234,0.43085847452151527,0.7963815541996967,0.5247686567561676,0.18181818181818182,0.5254237288135594,0.5396825396825397,0.208955223880597,0.6984126984126984,0.6,0.4696969696969697,0.425,0.5,0.7333333333333333,0.10714285714285714,0.5961538461538461,0.7391304347826086,0.1320754716981132,0.6666666666666666,0.7446808510638298,0.358974358974359,0.7311141365460695,0.5239577989432473,0.8076923076923077,0.0,0.6282051282051282,0.0,0.7544910179640718,0.0,0.7205882352941176,0.0,0.8689655172413793,0.0,0.5568181818181818,0.0,0.7787234042553192,0.7737037037037038,0.8562077081494557,0.8259506887491149,0.8074074074074075,0.74,0.7898550724637681,0.7628865979381443,0.8257575757575758,0.7184466019417476,0.9744680851063829,0.49353448275862066,0.6906841339155749,0.09206503625079433,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.6978723404255319,0.6823175491708079,0.7739898989898991,0.6889503639273756,0.7526132404181185,0.6120218579234973,0.7152317880794702,0.6666666666666666,0.7941176470588235,0.5656565656565656,0.723404255319149,0.7123839650530042,0.7915018315018315,0.7419525633339832,0.7686832740213523,0.656084656084656,0.7152317880794702,0.7380952380952381,0.8307692307692308,0.5904761904761905,0.9446808510638298,0.48577680525164113,0.7761607761607761,0.27097435734827136,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7829787234042553,0.7743320341185109,0.8155339805825242,0.8252901118879692,0.7301587301587301,0.8185053380782918,0.8023255813953488,0.7718120805369127,0.6699029126213593,0.8712121212121212
5,0.4998922090409166,0.5284992460161447,0.7691489361702128,0.597178810417502,0.784086901421647,0.5756963287876413,72.56567740440369,368.75597167015076,63.81494440930954,0.5191489361702127,0.49155715069712436,0.8022301678491915,0.5391089161402702,0.2777777777777778,0.5736434108527132,0.5283018867924528,0.37037037037037035,0.7076923076923077,0.625,0.4805194805194805,0.4666666666666667,0.5357142857142857,0.71875,0.17857142857142858,0.7115384615384616,0.6086956521739131,0.2830188679245283,0.696969696969697,0.7361702127659574,0.3550632911392405,0.731040775049105,0.5238533051315357,0.8,0.0,0.620253164556962,0.0,0.7515151515151515,0.0,0.7,0.0,0.8551724137931035,0.0,0.5568181818181818,0.0,0.7787234042553192,0.7737037037037038,0.8613562812591938,0.834339063648557,0.8074074074074075,0.74,0.7898550724637681,0.7628865979381443,0.8257575757575758,0.7184466019417476,0.9744680851063829,0.49353448275862066,0.7139737991266375,0.14715121136173767,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7191489361702128,0.709419964028777,0.7745840760546643,0.6849538698346256,0.762589928057554,0.65625,0.7464788732394366,0.6774193548387096,0.7794117647058824,0.6363636363636364,0.7063829787234043,0.6993268927664151,0.7940659340659342,0.7462478100996808,0.7453874538745388,0.6532663316582915,0.7163120567375887,0.6914893617021277,0.7769230769230769,0.6190476190476191,0.9446808510638298,0.48577680525164113,0.7785862785862786,0.3047128506946447,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.774468085106383,0.7690481929944928,0.8168578993821712,0.8252036033900796,0.7336683417085427,0.8044280442804428,0.7604166666666666,0.7841726618705036,0.7087378640776699,0.8257575757575758
6,0.490614815788754,0.5231756990775466,0.7702127659574467,0.5989190592562538,0.7862731533114026,0.580226936439701,74.28919744491577,443.0451691150665,65.21372896559694,0.5148936170212766,0.4929995214296869,0.8031705782977806,0.5415940793620464,0.35,0.5233644859813084,0.546448087431694,0.3287671232876712,0.7164179104477612,0.5833333333333334,0.509090909090909,0.43859649122807015,0.6,0.7058823529411765,0.25,0.5384615384615384,0.7246376811594203,0.22641509433962265,0.7272727272727273,0.7361702127659574,0.3550632911392405,0.7311247220345721,0.5252811690352748,0.8,0.0,0.620253164556962,0.0,0.7515151515151515,0.0,0.7,0.0,0.8551724137931035,0.0,0.5568181818181818,0.0,0.7829787234042553,0.7777633555230025,0.862606649014416,0.8348650250928654,0.8118081180811808,0.7437185929648241,0.7913669064748201,0.7708333333333334,0.8333333333333334,0.7184466019417476,0.9744680851063829,0.49353448275862066,0.7248908296943232,0.16568235858679628,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7148936170212766,0.7080420552949248,0.7764408793820557,0.6851405331953707,0.7527675276752768,0.6633165829145728,0.7555555555555555,0.66,0.75,0.6666666666666666,0.7148936170212766,0.7095072046641206,0.7958241758241759,0.7509630038328249,0.7490636704119851,0.6699507389162561,0.7299270072992701,0.6938775510204082,0.7692307692307693,0.6476190476190476,0.9446808510638298,0.48577680525164113,0.7782397782397783,0.3081001724510808,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7787234042553192,0.768665757988793,0.8178876140041188,0.8301891499613491,0.7204301075268817,0.8169014084507042,0.8072289156626506,0.7631578947368421,0.6504854368932039,0.8787878787878788
7,0.48725691134646787,0.5194085159959893,0.7718085106382979,0.5963038258510074,0.789695708332376,0.5824185113947137,73.73850345611572,516.7836725711823,64.66713763297872,0.5276595744680851,0.48185799681350544,0.8051373147172416,0.5424025311370011,0.125,0.5611510791366906,0.5362318840579711,0.45161290322580644,0.7352941176470589,0.5,0.4482758620689655,0.5362318840579711,0.525,0.7142857142857143,0.07142857142857142,0.75,0.5362318840579711,0.39622641509433965,0.7575757575757576,0.7446808510638298,0.35515202702702703,0.731789284620317,0.523760479505316,0.8125,0.0,0.6081081081081081,0.0,0.7428571428571429,0.0,0.75,0.0,0.896551724137931,0.0,0.5113636363636364,0.0,0.7872340425531915,0.7805543104736292,0.8645189761694616,0.8381935395816722,0.8188405797101449,0.7422680412371134,0.7847222222222222,0.7912087912087912,0.8560606060606061,0.6990291262135923,0.9744680851063829,0.49353448275862066,0.7445414847161572,0.17632240373338784,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7191489361702128,0.7084586466165413,0.7756238859180035,0.6788750037102925,0.7642857142857142,0.6526315789473685,0.7430555555555556,0.6813186813186813,0.7867647058823529,0.6262626262626263,0.723404255319149,0.7181786313905647,0.7953113553113553,0.7523046951178045,0.7565543071161048,0.6798029556650246,0.7372262773722628,0.7040816326530612,0.7769230769230769,0.6571428571428571,0.9446808510638298,0.48577680525164113,0.7813582813582813,0.3167546528682855,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7531914893617021,0.74691770647653,0.8192850838481905,0.8307347855039496,0.7070707070707071,0.7867647058823529,0.7368421052631579,0.7642857142857142,0.6796116504854369,0.8106060606060606
8,0.48062668968055205,0.5169934735943873,0.7728723404255319,0.6006651237951611,0.7904048107117467,0.5828039934170883,72.87221717834473,589.655889749527,63.62341921380225,0.5319148936170213,0.5006247888439171,0.8082594555725418,0.5539270563718549,0.23529411764705882,0.5299145299145299,0.5487804878048781,0.42857142857142855,0.7605633802816901,0.6666666666666666,0.47692307692307695,0.47368421052631576,0.5806451612903226,0.7105263157894737,0.14285714285714285,0.5961538461538461,0.6521739130434783,0.33962264150943394,0.8181818181818182,0.7361702127659574,0.3580181829032964,0.7366134709564802,0.5241963155063073,0.7973421926910299,0.0,0.6347305389221557,0.0,0.7692307692307693,0.0,0.6708860759493671,0.0,0.8275862068965517,0.0,0.6022727272727273,0.0,0.7957446808510639,0.7921273772666961,0.8701824065901735,0.8468633763578134,0.8195488721804511,0.7647058823529411,0.8134328358208955,0.7722772277227723,0.8257575757575758,0.7572815533980582,0.9744680851063829,0.49353448275862066,0.745269286754003,0.18772504603600737,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.7191489361702128,0.7134993350081277,0.7770350564468211,0.6616426524062865,0.753731343283582,0.6732673267326733,0.7651515151515151,0.6601941747572816,0.7426470588235294,0.6868686868686869,0.7319148936170212,0.729089278852312,0.7951648351648353,0.7463448348903776,0.7567567567567568,0.7014218009478673,0.7596899224806202,0.6981132075471698,0.7538461538461538,0.7047619047619048,0.9446808510638298,0.48577680525164113,0.7813582813582813,0.3145307623760289,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7489361702127659,0.732650739476678,0.8093556928508384,0.8272019033920299,0.6666666666666666,0.7986348122866894,0.7972972972972973,0.7267080745341615,0.5728155339805825,0.8863636363636364
9,0.47521643264819,0.5161118942312897,0.7707446808510638,0.5985605440063861,0.7920397412378142,0.5843608995837637,71.98669028282166,661.6425800323486,63.63886670863375,0.5106382978723404,0.4759315578038983,0.8100202807965905,0.5530955478845309,0.18181818181818182,0.5,0.5256410256410257,0.425531914893617,0.7466666666666667,0.6,0.4666666666666667,0.47126436781609193,0.4878048780487805,0.6666666666666666,0.10714285714285714,0.5384615384615384,0.5942028985507246,0.37735849056603776,0.8484848484848485,0.7361702127659574,0.35947191210349105,0.7362304446670924,0.5249507787573153,0.7946127946127947,0.0,0.6432748538011696,0.0,0.7763157894736842,0.0,0.6626506024096386,0.0,0.8137931034482758,0.0,0.625,0.0,0.7914893617021277,0.7889053878164586,0.8719476316563696,0.8483822935063224,0.8122605363984674,0.7655502392344498,0.8217054263565892,0.7547169811320755,0.803030303030303,0.7766990291262136,0.9744680851063829,0.49353448275862066,0.7518195050946143,0.18880670044959047,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.723404255319149,0.7174906138452718,0.7764408793820559,0.6528261167529121,0.758364312267658,0.6766169154228856,0.7669172932330827,0.6666666666666666,0.75,0.6868686868686869,0.7276595744680852,0.723448072962636,0.7954578754578755,0.7465028991595446,0.7575757575757576,0.6893203883495146,0.746268656716418,0.7029702970297029,0.7692307692307693,0.6761904761904762,0.9446808510638298,0.48577680525164113,0.7823977823977823,0.33049848702022616,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7574468085106383,0.743925519509071,0.8120035304501324,0.8298243731396675,0.6850828729281768,0.8027681660899654,0.7948717948717948,0.7388535031847133,0.6019417475728155,0.8787878787878788
10,0.47048164525274505,0.5100237905203054,0.7739361702127661,0.6038762658365723,0.7939542581755021,0.5952320156145731,74.48310971260071,736.1256897449493,65.97388044316718,0.5404255319148936,0.5267375102773333,0.8154811498851033,0.5659871838637848,0.35,0.5486725663716814,0.5454545454545454,0.43956043956043955,0.75,0.5833333333333334,0.5081967213114754,0.49411764705882355,0.5263157894736842,0.6923076923076923,0.25,0.5961538461538461,0.6086956521739131,0.37735849056603776,0.8181818181818182,0.7404255319148936,0.35871082606672466,0.7330704756059415,0.5268180167059077,0.8013029315960912,0.0,0.6335403726708074,0.0,0.7592592592592593,0.0,0.6986301369863014,0.0,0.8482758620689655,0.0,0.5795454545454546,0.0,0.7872340425531915,0.7834660179861418,0.8736393056781407,0.8515355427282119,0.8120300751879699,0.7549019607843137,0.8059701492537313,0.7623762376237624,0.8181818181818182,0.7475728155339806,0.9744680851063829,0.49353448275862066,0.754730713245997,0.27223381211019393,0.9870689655172413,0.0,0.9744680851063829,0.0,1.0,0.0,0.723404255319149,0.7159777616630408,0.7783719548425431,0.6608535967639504,0.7619047619047619,0.6700507614213198,0.7591240875912408,0.673469387755102,0.7647058823529411,0.6666666666666666,0.7191489361702128,0.7141751437417072,0.7965567765567765,0.7459493284229737,0.7518796992481203,0.6764705882352942,0.7352941176470589,0.696969696969697,0.7692307692307693,0.6571428571428571,0.9446808510638298,0.48577680525164113,0.7785862785862786,0.30330073288281967,0.9715536105032823,0.0,0.9446808510638298,0.0,1.0,0.0,0.7617021276595745,0.7526315789473684,0.8211974110032363,0.8351779114387425,0.7052631578947368,0.8,0.7701149425287356,0.7567567567567568,0.6504854368932039,0.8484848484848485
